WeekStartDate,Campus,AvailabilityPercent,AvgLatencyMs,PacketLossPercent,OutageMinutes
2025-12-03,Central-Office,99.89,13.07,0.04,1.1
2025-12-03,High-School,99.69,19.95,0.37,3.1
2025-12-03,Middle-School,99.98,18.33,0.01,0.2
2025-12-03,Elementary-School,99.85,16.18,0.38,1.5
2025-12-10,Central-Office,99.63,15.69,0.08,3.7
2025-12-10,High-School,99.71,13.44,0.67,2.9
2025-12-10,Middle-School,99.93,11.16,0.35,0.7
2025-12-10,Elementary-School,99.59,18.95,0.61,4.1
2025-12-17,Central-Office,99.65,15.67,0.43,3.5
2025-12-17,High-School,99.57,17.15,0.38,4.3
2025-12-17,Middle-School,99.88,14.36,0.0,1.2
2025-12-17,Elementary-School,99.66,8.23,0.65,3.4
2025-12-24,Central-Office,99.93,17.98,0.22,0.7
2025-12-24,High-School,99.53,18.54,0.66,4.7
2025-12-24,Middle-School,99.54,13.83,0.05,4.6
2025-12-24,Elementary-School,99.87,17.19,0.09,1.3
2025-12-31,Central-Office,99.73,14.6,0.19,2.7
2025-12-31,High-School,99.93,13.08,0.15,0.7
2025-12-31,Middle-School,99.76,16.76,0.14,2.4
2025-12-31,Elementary-School,99.65,19.94,0.45,3.5
2026-01-07,Central-Office,99.71,14.21,0.08,2.9
2026-01-07,High-School,99.61,12.06,0.41,3.9
2026-01-07,Middle-School,99.61,10.64,0.05,3.9
2026-01-07,Elementary-School,99.81,10.75,0.63,1.9
2026-01-14,Central-Office,99.92,8.85,0.17,0.8
2026-01-14,High-School,99.83,10.57,0.09,1.7
2026-01-14,Middle-School,99.96,14.85,0.33,0.4
2026-01-14,Elementary-School,99.88,17.69,0.13,1.2
2026-01-21,Central-Office,99.55,13.17,0.3,4.5
2026-01-21,High-School,99.73,16.75,0.47,2.7
2026-01-21,Middle-School,99.98,9.18,0.28,0.2
2026-01-21,Elementary-School,99.67,18.34,0.17,3.3
2026-01-28,Central-Office,99.59,13.38,0.3,4.1
2026-01-28,High-School,99.64,11.0,0.65,3.6
2026-01-28,Middle-School,99.72,18.34,0.39,2.8
2026-01-28,Elementary-School,99.52,19.99,0.59,4.8
2026-02-04,Central-Office,99.97,19.12,0.59,0.3
2026-02-04,High-School,99.58,13.83,0.15,4.2
2026-02-04,Middle-School,99.7,8.7,0.27,3.0
2026-02-04,Elementary-School,99.98,11.18,0.55,0.2
2026-02-11,Central-Office,99.72,13.08,0.67,2.8
2026-02-11,High-School,99.99,14.67,0.5,0.1
2026-02-11,Middle-School,99.58,11.56,0.68,4.2
2026-02-11,Elementary-School,99.78,14.51,0.52,2.2
2026-02-18,Central-Office,99.53,15.01,0.35,4.7
2026-02-18,High-School,99.92,9.89,0.67,0.8
2026-02-18,Middle-School,99.54,10.23,0.42,4.6
2026-02-18,Elementary-School,99.83,10.82,0.08,1.7
