"Date","TotalUsers","ActiveUsers","DisabledUsers","PasswordExpiring7Days","PasswordExpiring30Days","StaleAccounts90Days","LockedAccounts","ComputerObjects","StaleComputers90Days"
"2025-11-21","38311","37465","874","514","2629","239","32","22980","162"
"2025-11-22","38480","37677","902","680","2183","314","15","22928","120"
"2025-11-23","38363","37500","935","726","2517","189","8","23064","101"
"2025-11-24","38627","37543","895","743","2748","220","29","23077","122"
"2025-11-25","38424","37609","877","622","2925","197","10","23092","160"
"2025-11-26","38343","37475","868","663","2748","242","29","23025","102"
"2025-11-27","38380","37459","868","662","2248","319","21","22947","117"
"2025-11-28","38608","37500","917","689","2858","268","28","22969","138"
"2025-11-29","38643","37698","884","503","2616","188","7","23044","152"
"2025-11-30","38536","37496","891","648","2698","290","26","22951","104"
"2025-12-01","38315","37576","884","518","2563","255","2","23034","160"
"2025-12-02","38415","37468","889","747","2308","343","21","22949","203"
"2025-12-03","38342","37689","949","757","2041","342","23","23080","225"
"2025-12-04","38474","37468","903","723","2140","322","29","22918","194"
"2025-12-05","38545","37676","898","709","2077","302","19","22968","111"
"2025-12-06","38534","37517","947","770","2620","279","38","23045","184"
"2025-12-07","38586","37548","944","798","2507","163","11","23091","165"
"2025-12-08","38300","37707","945","660","2332","205","4","23002","212"
"2025-12-09","38600","37550","910","728","2653","184","20","23056","135"
"2025-12-10","38617","37510","877","628","2565","201","30","23056","227"
"2025-12-11","38665","37500","887","574","2645","190","32","23084","188"
"2025-12-12","38496","37529","940","580","2997","150","20","22949","108"
"2025-12-13","38652","37743","934","624","2799","343","1","22904","154"
"2025-12-14","38562","37501","926","718","2446","230","4","23009","156"
"2025-12-15","38509","37631","886","687","2086","291","12","23047","135"
"2025-12-16","38307","37498","853","616","2084","320","25","23054","139"
"2025-12-17","38360","37599","850","727","2419","191","4","22951","120"
"2025-12-18","38576","37651","934","679","2301","266","17","22944","206"
"2025-12-19","38612","37652","861","718","2518","267","30","23070","210"
"2025-12-20","38698","37673","913","591","2296","192","17","23087","132"
