"Date","JobName","Status","Duration","DataSizeGB","SuccessRate"
"2026-02-19","SIS-Database-Daily","Success","104","110","100"
"2026-02-19","FileServer-Staff-Daily","Success","61","85","100"
"2026-02-19","FileServer-Students-Daily","Warning","111","143","87"
"2026-02-19","DomainControllers-Daily","Success","53","21","100"
"2026-02-19","Exchange-Online-Archive","Success","36","62","100"
"2026-02-19","Canvas-LMS-Backup","Success","95","25","100"
"2026-02-19","Hyper-V-Hosts-Daily","Success","57","101","100"
"2026-02-19","PrintServer-Daily","Success","16","25","100"
"2026-02-18","SIS-Database-Daily","Success","116","113","100"
"2026-02-18","FileServer-Staff-Daily","Success","76","90","100"
"2026-02-18","FileServer-Students-Daily","Success","54","147","100"
"2026-02-18","DomainControllers-Daily","Success","40","29","100"
"2026-02-18","Exchange-Online-Archive","Success","81","63","100"
"2026-02-18","Canvas-LMS-Backup","Success","49","44","100"
"2026-02-18","Hyper-V-Hosts-Daily","Success","46","97","100"
"2026-02-18","PrintServer-Daily","Success","51","21","100"
"2026-02-17","SIS-Database-Daily","Success","31","121","100"
"2026-02-17","FileServer-Staff-Daily","Success","96","80","100"
"2026-02-17","FileServer-Students-Daily","Success","106","159","100"
"2026-02-17","DomainControllers-Daily","Success","106","21","100"
"2026-02-17","Exchange-Online-Archive","Success","95","57","100"
"2026-02-17","Canvas-LMS-Backup","Success","23","32","100"
"2026-02-17","Hyper-V-Hosts-Daily","Success","86","92","100"
"2026-02-17","PrintServer-Daily","Success","84","18","100"
"2026-02-16","SIS-Database-Daily","Success","58","129","100"
"2026-02-16","FileServer-Staff-Daily","Success","106","76","100"
"2026-02-16","FileServer-Students-Daily","Success","99","145","100"
"2026-02-16","DomainControllers-Daily","Success","35","22","100"
"2026-02-16","Exchange-Online-Archive","Success","81","66","100"
"2026-02-16","Canvas-LMS-Backup","Success","86","36","100"
"2026-02-16","Hyper-V-Hosts-Daily","Success","88","102","100"
"2026-02-16","PrintServer-Daily","Success","47","10","100"
"2026-02-15","SIS-Database-Daily","Success","65","112","100"
"2026-02-15","FileServer-Staff-Daily","Success","50","94","100"
"2026-02-15","FileServer-Students-Daily","Success","23","149","100"
"2026-02-15","DomainControllers-Daily","Success","49","22","100"
"2026-02-15","Exchange-Online-Archive","Success","101","61","100"
"2026-02-15","Canvas-LMS-Backup","Success","72","25","100"
"2026-02-15","Hyper-V-Hosts-Daily","Success","58","85","100"
"2026-02-15","PrintServer-Daily","Success","108","20","100"
"2026-02-14","SIS-Database-Daily","Success","61","111","100"
"2026-02-14","FileServer-Staff-Daily","Success","118","83","100"
"2026-02-14","FileServer-Students-Daily","Success","118","154","100"
"2026-02-14","DomainControllers-Daily","Success","49","17","100"
"2026-02-14","Exchange-Online-Archive","Success","48","55","100"
"2026-02-14","Canvas-LMS-Backup","Success","114","44","100"
"2026-02-14","Hyper-V-Hosts-Daily","Success","30","89","100"
"2026-02-14","PrintServer-Daily","Success","34","17","100"
