"Date","ScopeName","Network","Campus","TotalAddresses","AddressesUsed","AddressesAvailable","UtilizationPercent","LeaseRate","ExpiringLeases24h"
"2026-01-16","Student-VLAN","10.100.0.0/16","All","65534","44563","20971","68","181","75"
"2026-01-16","Staff-VLAN","10.101.0.0/16","All","65534","13107","52427","20","53","68"
"2026-01-16","Admin-VLAN","10.102.0.0/24","Main","254","188","66","74","183","63"
"2026-01-16","IoT-VLAN","10.103.0.0/16","All","65534","24903","40631","38","138","57"
"2026-01-16","Guest-VLAN","10.104.0.0/16","All","65534","9830","55704","15","167","46"
"2026-01-17","Student-VLAN","10.100.0.0/16","All","65534","14745","50789","22.5","185","23"
"2026-01-17","Staff-VLAN","10.101.0.0/16","All","65534","3277","62257","5","59","38"
"2026-01-17","Admin-VLAN","10.102.0.0/24","Main","254","47","207","18.5","97","86"
"2026-01-17","IoT-VLAN","10.103.0.0/16","All","65534","5570","59964","8.5","187","99"
"2026-01-17","Guest-VLAN","10.104.0.0/16","All","65534","3277","62257","5","165","52"
"2026-01-18","Student-VLAN","10.100.0.0/16","All","65534","8519","57015","13","158","44"
"2026-01-18","Staff-VLAN","10.101.0.0/16","All","65534","3932","61602","6","133","80"
"2026-01-18","Admin-VLAN","10.102.0.0/24","Main","254","38","216","15","195","23"
"2026-01-18","IoT-VLAN","10.103.0.0/16","All","65534","3277","62257","5","178","70"
"2026-01-18","Guest-VLAN","10.104.0.0/16","All","65534","3277","62257","5","172","48"
"2026-01-19","Student-VLAN","10.100.0.0/16","All","65534","44563","20971","68","77","63"
"2026-01-19","Staff-VLAN","10.101.0.0/16","All","65534","19005","46529","29","164","78"
"2026-01-19","Admin-VLAN","10.102.0.0/24","Main","254","198","56","78","68","21"
"2026-01-19","IoT-VLAN","10.103.0.0/16","All","65534","24903","40631","38","180","45"
"2026-01-19","Guest-VLAN","10.104.0.0/16","All","65534","10485","55049","16","96","46"
"2026-01-20","Student-VLAN","10.100.0.0/16","All","65534","42597","22937","65","89","64"
