"DeviceID","DeviceType","Model","Location","HealthStatus","UptimeDays","FirmwareVersion","LastSeen","CPUUtilization","MemoryUtilization","PortUtilization"
"NET-0001","Core Switch","Cisco Catalyst 9500","Parkview Elem","Healthy","52","17.7.2","2026-02-19 13:52:41","41","42","58"
"NET-0002","Core Switch","Cisco Catalyst 9500","Timberview MS","Healthy","9","17.8.2","2026-02-18 19:52:41","17","33","54"
"NET-0003","Core Switch","Cisco Catalyst 9500","Keller HS","Healthy","2","17.8.4","2026-02-19 15:52:41","14","78","63"
"NET-0004","Core Switch","Cisco Catalyst 9500","Central HS","Healthy","74","17.6.4","2026-02-19 09:52:41","22","70","73"
"NET-0005","Distribution Switch","Cisco Catalyst 9300","Indian Springs MS","Healthy","66","17.7.2","2026-02-19 03:52:41","23","31","69"
"NET-0006","Distribution Switch","Cisco Catalyst 9300","Transportation Center","Healthy","199","17.8.4","2026-02-19 10:52:41","38","65","75"
"NET-0007","Distribution Switch","Cisco Catalyst 9300","Stadium Complex","Healthy","331","17.6.3","2026-02-19 05:52:41","58","67","79"
"NET-0008","Distribution Switch","Cisco Catalyst 9300","Florence Elem","Healthy","47","17.8.2","2026-02-18 17:52:41","19","38","46"
"NET-0009","Distribution Switch","Cisco Catalyst 9300","Parkwood Elem","Healthy","180","17.7.4","2026-02-18 23:52:41","36","70","49"
"NET-0010","Distribution Switch","Cisco Catalyst 9300","Shady Grove Elem","Healthy","16","17.6.4","2026-02-19 02:52:41","50","54","51"
"NET-0011","Distribution Switch","Cisco Catalyst 9300","Shady Grove Elem","Healthy","329","17.8.4","2026-02-19 11:52:41","10","76","55"
"NET-0012","Distribution Switch","Cisco Catalyst 9300","Central HS","Healthy","231","17.6.4","2026-02-19 02:52:41","12","59","49"
"NET-0013","Distribution Switch","Cisco Catalyst 9300","Stadium Complex","Healthy","333","17.6.3","2026-02-19 15:52:41","44","32","88"
"NET-0014","Distribution Switch","Cisco Catalyst 9300","Timber Creek HS","Healthy","80","17.7.2","2026-02-19 06:52:41","56","64","44"
