"WeekStartDate","Campus","GradeBand","Capacity","TotalEnrolled","CapacityUtilPct","NewTransfersIn","TransfersOut","ActiveAccountsPct"
"2025-02-20","Keller HS","High School","2800","2464","88","4","2","98.3"
"2025-02-20","Timber Creek HS","High School","2700","2359","87","0","2","98.4"
"2025-02-20","Central HS","High School","2600","2264","87","0","2","97.7"
"2025-02-20","Foster HS","High School","2500","2212","88","2","1","98"
"2025-02-20","Indian Springs MS","Middle","1200","1061","88","0","0","98.3"
"2025-02-20","Hillwood MS","Middle","1150","1035","90","1","2","100"
"2025-02-20","Trinity Springs MS","Middle","1100","956","87","3","2","99.8"
"2025-02-20","Bear Creek MS","Middle","1050","947","90","1","0","99.7"
"2025-02-20","Timberview MS","Middle","1000","868","87","2","2","98.7"
"2025-02-20","Ridgeview MS","Middle","980","833","85","4","2","99.7"
"2025-02-20","Shady Grove Elem","Elementary","800","732","92","3","2","98.7"
"2025-02-20","Parkwood Elem","Elementary","780","683","88","2","1","99.7"
"2025-02-20","Willowbrook Elem","Elementary","760","660","87","0","1","98.2"
"2025-02-20","Willis Lane Elem","Elementary","750","657","88","1","1","97.2"
"2025-02-20","Florence Elem","Elementary","740","655","88","1","1","98"
"2025-02-20","Basswood Elem","Elementary","730","670","92","0","1","98.1"
"2025-02-20","Parkview Elem","Elementary","720","660","92","0","0","97.5"
"2025-02-20","Liberty Elem","Elementary","710","629","89","2","1","97.5"
"2025-02-20","North Star Elem","Elementary","700","629","90","1","2","97.7"
"2025-02-20","Ridgeview Elem","Elementary","690","614","89","3","0","99.9"
"2025-02-20","Hidden Lakes Elem","Elementary","680","596","88","2","1","99.3"
"2025-02-20","Bluebonnet Elem","Elementary","670","607","91","4","2","98.8"
"2025-02-27","Keller HS","High School","2800","2473","88","4","1","97.6"
"2025-02-27","Timber Creek HS","High School","2700","2405","89","3","1","97.5"
"2025-02-27","Central HS","High School","2600","2266","87","1","2","98.4"
"2025-02-27","Foster HS","High School","2500","2226","89","3","0","99.7"
"2025-02-27","Indian Springs MS","Middle","1200","1054","88","4","1","98.9"
"2025-02-27","Hillwood MS","Middle","1150","987","86","1","1","98.9"
"2025-02-27","Trinity Springs MS","Middle","1100","944","86","0","0","99.5"
"2025-02-27","Bear Creek MS","Middle","1050","895","85","2","0","99.5"
"2025-02-27","Timberview MS","Middle","1000","880","88","1","1","97.7"
"2025-02-27","Ridgeview MS","Middle","980","872","89","1","1","99"
"2025-02-27","Shady Grove Elem","Elementary","800","717","90","3","2","97.7"
"2025-02-27","Parkwood Elem","Elementary","780","674","86","3","0","97.6"
"2025-02-27","Willowbrook Elem","Elementary","760","681","90","3","2","99.2"
"2025-02-27","Willis Lane Elem","Elementary","750","632","84","0","2","98.2"
"2025-02-27","Florence Elem","Elementary","740","644","87","4","0","99.5"
"2025-02-27","Basswood Elem","Elementary","730","624","86","0","1","99"
"2025-02-27","Parkview Elem","Elementary","720","629","87","0","2","99.4"
"2025-02-27","Liberty Elem","Elementary","710","622","88","3","2","99.9"
"2025-02-27","North Star Elem","Elementary","700","634","91","0","2","100"
"2025-02-27","Ridgeview Elem","Elementary","690","616","89","3","2","99.6"
"2025-02-27","Hidden Lakes Elem","Elementary","680","621","91","3","1","98.1"
"2025-02-27","Bluebonnet Elem","Elementary","670","582","87","2","2","98.2"
"2025-03-06","Keller HS","High School","2800","2450","88","2","0","98.1"
"2025-03-06","Timber Creek HS","High School","2700","2369","88","3","2","97.3"
"2025-03-06","Central HS","High School","2600","2268","87","2","2","97.8"
"2025-03-06","Foster HS","High School","2500","2177","87","3","1","99"
"2025-03-06","Indian Springs MS","Middle","1200","1032","86","2","2","98.3"
"2025-03-06","Hillwood MS","Middle","1150","1029","90","3","2","97.6"
"2025-03-06","Trinity Springs MS","Middle","1100","961","87","3","0","97.7"
"2025-03-06","Bear Creek MS","Middle","1050","901","86","3","1","99.7"
"2025-03-06","Timberview MS","Middle","1000","883","88","2","1","99.9"
"2025-03-06","Ridgeview MS","Middle","980","870","89","2","0","99.7"
"2025-03-06","Shady Grove Elem","Elementary","800","704","88","0","1","98.1"
"2025-03-06","Parkwood Elem","Elementary","780","676","87","4","1","98.3"
