"WeekStartDate","Campus","GradeBand","FleetSize","DevicesAssigned","DevicesPendingAssignment","DevicesUnassigned","AssignmentCompletePct","AutopilotSuccessRatePct","DevicesNotSeenIn7Days","DevicesNotSeenIn30Days"
"2025-02-20","Keller HS","High School","2660","2554","80","26","96","98","27","27"
"2025-02-20","Timber Creek HS","High School","2565","2488","26","51","97","99","77","26"
"2025-02-20","Central HS","High School","2470","2396","74","0","97","98","74","25"
"2025-02-20","Foster HS","High School","2375","2280","48","47","96","98","71","24"
"2025-02-20","Indian Springs MS","Middle","1080","1026","11","43","95","98","22","11"
"2025-02-20","Hillwood MS","Middle","1035","994","31","10","96","98","41","10"
"2025-02-20","Trinity Springs MS","Middle","990","940","20","30","95","97","20","10"
"2025-02-20","Bear Creek MS","Middle","945","907","9","29","96","99","28","9"
"2025-02-20","Timberview MS","Middle","900","882","9","9","98","97","36","9"
"2025-02-20","Ridgeview MS","Middle","882","864","9","9","98","99","26","9"
"2025-02-20","Shady Grove Elem","Elementary","120","114","2","4","95","98","1","1"
"2025-02-20","Parkwood Elem","Elementary","117","115","2","0","98","98","5","1"
"2025-02-20","Willowbrook Elem","Elementary","114","108","1","5","95","98","5","1"
"2025-02-20","Willis Lane Elem","Elementary","112","106","3","3","95","99","3","1"
"2025-02-20","Florence Elem","Elementary","111","108","1","2","97","97","4","1"
"2025-02-20","Basswood Elem","Elementary","110","107","3","0","97","98","1","1"
"2025-02-20","Parkview Elem","Elementary","108","106","2","0","98","97","2","1"
"2025-02-20","Liberty Elem","Elementary","106","104","2","0","98","99","1","1"
"2025-02-27","Keller HS","High School","2660","2607","53","0","98","99","27","27"
"2025-02-27","Timber Creek HS","High School","2565","2437","77","51","95","97","77","26"
"2025-02-27","Central HS","High School","2470","2396","74","0","97","99","99","25"
"2025-02-27","Foster HS","High School","2375","2304","71","0","97","99","48","24"
"2025-02-27","Indian Springs MS","Middle","1080","1026","32","22","95","99","32","11"
"2025-02-27","Hillwood MS","Middle","1035","1004","10","21","97","97","10","10"
"2025-02-27","Trinity Springs MS","Middle","990","940","10","40","95","99","20","10"
"2025-02-27","Bear Creek MS","Middle","945","926","19","0","98","98","9","9"
"2025-02-27","Timberview MS","Middle","900","873","9","18","97","99","36","9"
"2025-02-27","Ridgeview MS","Middle","882","856","9","17","97","97","26","9"
"2025-02-27","Shady Grove Elem","Elementary","120","115","2","3","96","99","1","1"
"2025-02-27","Parkwood Elem","Elementary","117","112","2","3","96","98","2","1"
"2025-02-27","Willowbrook Elem","Elementary","114","112","3","0","98","97","3","1"
"2025-02-27","Willis Lane Elem","Elementary","112","106","1","5","95","97","3","1"
"2025-02-27","Florence Elem","Elementary","111","107","1","3","96","97","1","1"
"2025-02-27","Basswood Elem","Elementary","110","108","2","0","98","99","2","1"
"2025-02-27","Parkview Elem","Elementary","108","103","1","4","95","98","3","1"
"2025-02-27","Liberty Elem","Elementary","106","101","1","4","95","99","3","1"
"2025-03-06","Keller HS","High School","2660","2607","53","0","98","97","80","27"
"2025-03-06","Timber Creek HS","High School","2565","2462","26","77","96","99","77","26"
"2025-03-06","Central HS","High School","2470","2396","25","49","97","98","25","25"
"2025-03-06","Foster HS","High School","2375","2256","71","48","95","99","24","24"
"2025-03-06","Indian Springs MS","Middle","1080","1058","32","0","98","97","32","11"
"2025-03-06","Hillwood MS","Middle","1035","983","31","21","95","98","31","10"
"2025-03-06","Trinity Springs MS","Middle","990","960","10","20","97","97","20","10"
"2025-03-06","Bear Creek MS","Middle","945","907","19","19","96","99","9","9"
"2025-03-06","Timberview MS","Middle","900","864","18","18","96","99","18","9"
"2025-03-06","Ridgeview MS","Middle","882","864","18","0","98","99","26","9"
"2025-03-06","Shady Grove Elem","Elementary","120","114","4","2","95","98","2","1"
"2025-03-06","Parkwood Elem","Elementary","117","115","2","0","98","99","4","1"
"2025-03-06","Willowbrook Elem","Elementary","114","112","3","0","98","97","1","1"
"2025-03-06","Willis Lane Elem","Elementary","112","106","3","3","95","98","4","1"
"2025-03-06","Florence Elem","Elementary","111","109","3","0","98","98","4","1"
"2025-03-06","Basswood Elem","Elementary","110","106","1","3","96","98","3","1"
"2025-03-06","Parkview Elem","Elementary","108","104","2","2","96","97","2","1"
"2025-03-06","Liberty Elem","Elementary","106","103","3","0","97","97","1","1"
"2025-03-13","Keller HS","High School","2660","2527","53","80","95","97","53","27"
"2025-03-13","Timber Creek HS","High School","2565","2462","26","77","96","98","26","26"
"2025-03-13","Central HS","High School","2470","2421","25","24","98","99","49","25"
"2025-03-13","Foster HS","High School","2375","2256","24","95","95","97","48","24"
"2025-03-13","Indian Springs MS","Middle","1080","1058","22","0","98","98","22","11"
"2025-03-13","Hillwood MS","Middle","1035","983","10","42","95","98","10","10"
"2025-03-13","Trinity Springs MS","Middle","990","970","10","10","98","97","30","10"
"2025-03-13","Bear Creek MS","Middle","945","907","28","10","96","98","19","9"
"2025-03-13","Timberview MS","Middle","900","873","18","9","97","99","36","9"
"2025-03-13","Ridgeview MS","Middle","882","864","9","9","98","98","26","9"
"2025-03-13","Shady Grove Elem","Elementary","120","116","4","0","97","98","5","1"
"2025-03-13","Parkwood Elem","Elementary","117","112","4","1","96","97","2","1"
